0	Welcome to The Forest. You are Jeff, a scrawny little boy who is dared by his amazing friends to enter the forest and exit the other side. Unsurprisingly, you take the challenge. You walk forward until you cannot go anymore. There are two paths.	You follow the dark and ominous path left. There is a crow flying over the path.	You follow the dark and ominous path to the right. There is a tree lurking.	-	1	2	-
1	You reach a clearing. There is a stick on the floor.	You pick up the stick and continue moving forward.	You realize the stick is haunted and break it, briskly moving forward.	-	4	3	-
2	You reach a clearing. There is a book on the floor with sigils inscribed on the floor.	You pick up the magical book and read through it.	You are afraid of the book and bury it in the leaves nearby.	-	5	6	-
3	The path diverges left and right. There is a scarecrow in the center.	You go left, without looking back at the distance you just covered.	Looking back, you do not remember anything and go right.	-	7	13	-
4	The path diverges left and right. There is a traffic sign in the center.	You go left, without looking back at the distance you just covered.	Looking back, you do not remember anything and go right.	-	13	8	-
5	The path diverges left and right. There is a dead oak tree in the center.	You go left, without looking back at the distance you just covered.	Looking back, you do not remember anything and go right.	-	8	9	-
6	The path diverges left and right. You notice a dead cat.	You go left, without looking back at the distance you just covered.	Looking back, you do not remember anything and go right.	-	9	10	-
7	As you follow the path, a shiny locket catches your eye.	You pick up the locket and examine it.	The locket's beauty scares you. You ignore it and move on.	-	12	11	-
8	A wild beast appears on the horizon. Its ripped muscles look ready to kill.	You realize what your purpose is. You try to slay the beast.	You recognize the beast is lethal, and run away, preventing your injury.	-	18	17	-
9	A chamber of light approaches.	You enter the chamber and feel complete.	The chamber's power proves to be too much, and you get as far away fro it as you can.	-	10	19	-
10	A cave draws near. The wide mouth beckons. You cannot see inside the cave.	You feel attracted to the cave, and enter it.	Afraid of the cave's powers, you shy away.	-	108	22	-
11	The path diverges left and right. There is a light emanating from the center.	You go left, without looking back at the distance you just covered.	Looking back, you do not remember anything and go right.	-	24	23	-
12	A goblin appears as soon as you pick up the locket. it is drooling and ready to strike.	You kill the goblin, by using the locket's newfound powers. You pillage the corpse for supplies.	Not wanting to confront the goblin, you run back and lose sense of direction.	-	24	13	-
13	You see a tree. It is tall and proud.	You climb the tree and see something in the distance.	You run past the tree, never looking back.	-	17	14	-
14	The path diverges left and right. A dog watches.	You go left, without looking back at the distance you just covered.	Looking back, you do not remember anything and go right.	-	15	16	-
15	You see a gun on the floor. It is loaded and ready.	You pick it up. You set the hammer and ready the weapon.	You decide against the weapon, choosing to stay safe.	-	46	16	-
16	A pond draws near. It is clear and pristine.	You jump in, wanting to enjoy the water.	Recognizing the perils, you walk away from it and move on.	-	51	17	-
17	You go towards a bridge. It is rickety and old. An ogre watches silently.	Unafraid, you walk through it.	Scared, you stay put and wait with the ogre.	-	66	59	-
18	The beast does not go down without a fight. You decide you want to loot the remains, but only have the space for one item.	You take the head as a memory for your kill.	You take the body, for sustenance and continue your journey.	-	20	19	-
19	A wild rabid dog grows near. You need to hide.	You hide in the bushes and stay low to the ground.	You see a tree and climb up it.	-	22	21	-
20	A spirit draws near. It offers its blessing.	You take its blessing and feel energized.	You are afraid of the power and decline.	-	80	73	-
21	Atop the tree, there are two noticable areas to hide. They are equally powerful.	You move towards the dust clouds.	You move towards the smokescreens.	-	92	85	-
22	On the floor, you see a tunnel leading to the unknown.	You charge in, without considering the consequences.	You decide against going through the tunnel, choosing to stay hidden.	-	100	99	-
23	A house appears on the horizon. It is old and pale.	Sticking to your morals, you decide not to enter the house.	Needing more supplies, you enter the house discreetly.	-	25	32	-
24	As you are walking further, you see a spaceship. It is flashy and enticing.	You enter the spaceship, deciding that the reward is greater than the risk.	You go for the safe play, not going into the spaceship.	-	41	29	-
